Course,"321"
Lab Section Number,"5"
Test Group,"C"
Type of Test,"Tensile - Round"
Crosshead Rate,4.00,mm/min
Start Date,10/6/2015 11:17 AM
End Date,10/6/2015 11:19 AM
Material,"STEEL "
Heat treatment,"COLD ROLL"
Other information,""
Geometry,Circular
Diameter,7.13,mm
Area,39.9272,mm^2
Hardness,0.0
Rockwell Scale,HRB
Grip Diameter (Hardness correction),12.50,mm
Gage Length (Extensometer),25.40,mm
Maximum Load,39240,N
Tensile strain at Maximum Load,0.04786,mm/mm
Tensile strain at Maximum Strain 1,0.1641,mm/mm
Load at Maximum Strain 1,18950,N
Fracture Type and Location,""
Final Diameter,6.25,mm
Notes During Test,""

Time,Extension,Load,Strain 1
(sec),(mm),(N),(mm/mm)
0.00,10.41,-112.7,0.02239
0.50,10.44,114.8,0.02241
1.00,10.47,787.4,0.02248
1.50,10.51,1224,0.02252
2.00,10.54,1544,0.02255
2.50,10.57,1809,0.02257
3.00,10.61,2036,0.02260
3.50,10.64,2242,0.02262
4.00,10.67,2438,0.02262
4.50,10.71,2624,0.02264
5.00,10.74,2790,0.02266
5.50,10.77,2949,0.02267
6.00,10.81,3113,0.02269
6.50,10.84,3277,0.02270
7.00,10.87,3444,0.02271
7.50,10.91,3607,0.02273
8.00,10.94,3760,0.02275
8.50,10.97,3916,0.02275
9.00,11.01,4068,0.02277
9.50,11.04,4222,0.02278
10.00,11.07,4378,0.02279
10.50,11.11,4527,0.02281
11.00,11.14,4675,0.02282
11.50,11.17,4826,0.02283
12.00,11.21,4974,0.02285
12.50,11.24,5126,0.02288
13.00,11.27,5279,0.02289
13.50,11.31,5434,0.02291
14.00,11.34,5595,0.02293
14.50,11.37,5755,0.02295
15.00,11.41,5911,0.02298
15.50,11.44,6072,0.02300
16.00,11.47,6234,0.02302
16.50,11.51,6395,0.02305
17.00,11.54,6558,0.02307
17.50,11.57,6733,0.02310
18.00,11.61,6905,0.02312
18.50,11.64,7078,0.02314
19.00,11.67,7250,0.02316
19.50,11.71,7424,0.02318
20.00,11.74,7601,0.02321
20.50,11.77,7777,0.02323
21.00,11.81,7952,0.02324
21.50,11.84,8128,0.02327
22.00,11.87,8306,0.02330
22.50,11.91,8485,0.02332
23.00,11.94,8672,0.02334
23.50,11.97,8850,0.02336
24.00,12.01,9033,0.02338
24.50,12.04,9219,0.02340
25.00,12.07,9407,0.02342
25.50,12.11,9592,0.02346
26.00,12.14,9778,0.02346
26.50,12.17,9959,0.02348
27.00,12.21,10150,0.02351
27.50,12.24,10330,0.02352
28.00,12.27,10510,0.02355
28.50,12.31,10700,0.02356
29.00,12.34,10880,0.02359
29.50,12.37,11060,0.02360
30.00,12.41,11240,0.02362
30.50,12.44,11430,0.02365
31.00,12.47,11610,0.02367
31.50,12.51,11800,0.02368
32.00,12.54,11980,0.02371
32.50,12.57,12200,0.02373
33.00,12.61,12390,0.02377
33.50,12.64,12590,0.02379
34.00,12.67,12790,0.02382
34.50,12.71,12990,0.02384
35.00,12.74,13180,0.02388
35.50,12.77,13380,0.02390
36.00,12.81,13580,0.02393
36.50,12.84,13780,0.02396
37.00,12.87,13980,0.02399
37.50,12.91,14190,0.02401
38.00,12.94,14390,0.02404
38.50,12.97,14600,0.02407
39.00,13.01,14800,0.02410
39.50,13.04,15000,0.02413
40.00,13.07,15210,0.02416
40.50,13.11,15420,0.02419
41.00,13.14,15620,0.02422
41.50,13.17,15830,0.02425
42.00,13.21,16040,0.02428
42.50,13.24,16240,0.02431
43.00,13.27,16450,0.02434
43.50,13.31,16660,0.02437
44.00,13.34,16860,0.02441
44.50,13.37,17080,0.02444
45.00,13.41,17290,0.02447
45.50,13.44,17500,0.02451
46.00,13.47,17710,0.02454
46.50,13.51,17930,0.02457
47.00,13.54,18140,0.02461
47.50,13.57,18360,0.02465
48.00,13.61,18570,0.02469
48.50,13.64,18780,0.02472
49.00,13.67,18990,0.02476
49.50,13.71,19210,0.02480
50.00,13.74,19420,0.02484
50.50,13.77,19630,0.02488
51.00,13.81,19840,0.02491
51.50,13.84,20050,0.02496
52.00,13.87,20260,0.02499
52.50,13.91,20470,0.02504
53.00,13.94,20680,0.02508
53.50,13.97,20890,0.02512
54.00,14.01,21100,0.02517
54.50,14.04,21310,0.02522
55.00,14.07,21510,0.02526
55.50,14.11,21720,0.02531
56.00,14.14,21930,0.02535
56.50,14.17,22140,0.02540
57.00,14.21,22350,0.02544
57.50,14.24,22560,0.02550
58.00,14.27,22770,0.02556
58.50,14.31,22980,0.02561
59.00,14.34,23180,0.02566
59.50,14.37,23390,0.02571
60.00,14.41,23600,0.02576
60.50,14.44,23810,0.02582
61.00,14.47,24020,0.02588
61.50,14.51,24220,0.02593
62.00,14.54,24430,0.02598
62.50,14.57,24630,0.02604
63.00,14.61,24840,0.02610
63.50,14.64,25040,0.02617
64.00,14.67,25240,0.02621
64.50,14.71,25440,0.02628
65.00,14.74,25650,0.02635
65.50,14.77,25860,0.02642
66.00,14.81,26060,0.02648
66.50,14.84,26260,0.02655
67.00,14.87,26470,0.02662
67.50,14.91,26680,0.02669
68.00,14.94,26880,0.02676
68.50,14.97,27080,0.02683
69.00,15.01,27280,0.02690
69.50,15.04,27480,0.02699
70.00,15.07,27680,0.02706
70.50,15.11,27870,0.02714
71.00,15.14,28060,0.02721
71.50,15.17,28260,0.02730
72.00,15.21,28450,0.02738
72.50,15.24,28640,0.02747
73.00,15.27,28830,0.02755
73.50,15.31,29020,0.02763
74.00,15.34,29210,0.02772
74.50,15.37,29400,0.02781
75.00,15.41,29590,0.02790
75.50,15.44,29770,0.02800
76.00,15.47,29960,0.02809
76.50,15.51,30150,0.02819
77.00,15.54,30350,0.02829
77.50,15.57,30530,0.02839
78.00,15.61,30710,0.02849
78.50,15.64,30900,0.02860
79.00,15.67,31090,0.02871
79.50,15.71,31280,0.02882
80.00,15.74,31470,0.02893
80.50,15.77,31660,0.02905
81.00,15.81,31860,0.02919
81.50,15.84,32050,0.02931
82.00,15.87,32240,0.02944
82.50,15.91,32440,0.02958
83.00,15.94,32630,0.02971
83.50,15.97,32820,0.02985
84.00,16.01,33010,0.03000
84.50,16.04,33190,0.03016
85.00,16.07,33370,0.03030
85.50,16.11,33560,0.03045
86.00,16.14,33730,0.03060
86.50,16.17,33910,0.03076
87.00,16.21,34080,0.03092
87.50,16.24,34250,0.03109
88.00,16.27,34420,0.03126
88.50,16.31,34590,0.03143
89.00,16.34,34750,0.03161
89.50,16.37,34910,0.03179
90.00,16.41,35070,0.03197
90.50,16.44,35230,0.03216
91.00,16.47,35390,0.03235
91.50,16.51,35530,0.03254
92.00,16.54,35680,0.03273
92.50,16.57,35830,0.03293
93.00,16.61,35980,0.03314
93.50,16.64,36120,0.03336
94.00,16.67,36260,0.03357
94.50,16.71,36400,0.03379
95.00,16.74,36540,0.03402
95.50,16.77,36670,0.03425
96.00,16.81,36800,0.03448
96.50,16.84,36920,0.03473
97.00,16.87,37060,0.03498
97.50,16.91,37180,0.03524
98.00,16.94,37290,0.03551
98.50,16.97,37410,0.03579
99.00,17.01,37520,0.03606
99.50,17.04,37640,0.03636
100.00,17.07,37750,0.03665
100.50,17.11,37850,0.03696
101.00,17.14,37960,0.03728
101.50,17.17,38060,0.03761
102.00,17.21,38160,0.03796
102.50,17.24,38260,0.03832
103.00,17.27,38350,0.03869
103.50,17.31,38440,0.03907
104.00,17.34,38520,0.03948
104.50,17.37,38600,0.03990
105.00,17.41,38680,0.04033
105.50,17.44,38750,0.04077
106.00,17.47,38820,0.04125
106.50,17.51,38880,0.04174
107.00,17.54,38940,0.04225
107.50,17.57,38990,0.04277
108.00,17.61,39040,0.04332
108.50,17.64,39090,0.04390
109.00,17.67,39130,0.04448
109.50,17.71,39160,0.04511
110.00,17.74,39180,0.04575
110.50,17.77,39210,0.04643
111.00,17.81,39230,0.04714
111.50,17.84,39240,0.04786
112.00,17.87,39240,0.04864
112.50,17.91,39230,0.04942
113.00,17.94,39230,0.05025
113.50,17.97,39210,0.05112
114.00,18.01,39190,0.05202
114.50,18.04,39160,0.05297
115.00,18.07,39120,0.05393
115.50,18.11,39080,0.05495
116.00,18.14,39030,0.05601
116.50,18.17,38970,0.05710
117.00,18.21,38910,0.05822
117.50,18.24,38840,0.05938
118.00,18.27,38760,0.06057
118.50,18.31,38680,0.06178
119.00,18.34,38600,0.06303
119.50,18.37,38510,0.06428
120.00,18.41,38420,0.06555
120.50,18.44,38330,0.06682
121.00,18.47,38240,0.06811
121.50,18.51,38140,0.06943
122.00,18.54,38040,0.07072
122.50,18.57,37950,0.07205
123.00,18.61,37840,0.07338
123.50,18.64,37740,0.07471
124.00,18.67,37640,0.07604
124.50,18.71,37540,0.07739
125.00,18.74,37440,0.07874
125.50,18.77,37340,0.08010
126.00,18.81,37230,0.08147
126.50,18.84,37120,0.08283
127.00,18.87,37010,0.08419
127.50,18.91,36910,0.08557
128.00,18.94,36800,0.08694
128.50,18.97,36690,0.08832
129.00,19.01,36570,0.08971
129.50,19.04,36470,0.09110
130.00,19.07,36350,0.09249
130.50,19.11,36230,0.09387
131.00,19.14,36120,0.09526
131.50,19.17,36000,0.09667
132.00,19.21,35880,0.09807
132.50,19.24,35760,0.09947
133.00,19.27,35640,0.1009
133.50,19.31,35520,0.1023
134.00,19.34,35390,0.1037
134.50,19.37,35260,0.1051
135.00,19.41,35130,0.1065
135.50,19.44,35000,0.1079
136.00,19.47,34870,0.1094
136.50,19.51,34740,0.1108
137.00,19.54,34600,0.1122
137.50,19.57,34460,0.1137
138.00,19.61,34330,0.1151
138.50,19.64,34180,0.1165
139.00,19.67,34030,0.1180
139.50,19.71,33890,0.1194
140.00,19.74,33740,0.1209
140.50,19.77,33580,0.1223
141.00,19.81,33430,0.1238
141.50,19.84,33260,0.1252
142.00,19.87,33100,0.1267
142.50,19.91,32930,0.1281
143.00,19.94,32760,0.1296
143.50,19.97,32580,0.1311
144.00,20.01,32380,0.1326
144.31,20.03,18950,0.1641
