Course,"AE 321"
Lab Section Number,"5"
Test Group,"C"
Type of Test,"Tensile - Round"
Crosshead Rate,4.00,mm/min
Start Date,10/6/2015 11:08 AM
End Date,10/6/2015 11:11 AM
Material,"2024"
Heat treatment,"T4"
Other information,""
Geometry,Circular
Diameter,7.15,mm
Area,40.1515,mm^2
Hardness,0.0
Rockwell Scale,HRB
Grip Diameter (Hardness correction),12.50,mm
Gage Length (Extensometer),25.40,mm
Maximum Load,20110,N
Tensile strain at Maximum Load,0.1674,mm/mm
Tensile strain at Maximum Strain 1,0.2058,mm/mm
Load at Maximum Strain 1,19450,N
Fracture Type and Location,""
Final Diameter,6.10,mm
Notes During Test,""

Time,Extension,Load,Strain 1
(sec),(mm),(N),(mm/mm)
0.00,0.00,66.25,-0.00002
0.50,0.03,642.7,0.0001635
1.00,0.07,1313,0.0003765
1.50,0.10,1983,0.0005793
2.00,0.13,2600,0.0007764
2.50,0.17,3186,0.0009662
3.00,0.20,3743,0.001122
3.50,0.23,4275,0.001192
4.00,0.27,4777,0.001349
4.50,0.30,5238,0.001506
5.00,0.33,5614,0.001616
5.50,0.37,5948,0.001735
6.00,0.40,6273,0.001846
6.50,0.43,6584,0.001928
7.00,0.47,6885,0.002030
7.50,0.50,7191,0.002130
8.00,0.53,7496,0.002218
8.50,0.57,7799,0.002322
9.00,0.60,8101,0.002415
9.50,0.63,8399,0.002505
10.00,0.67,8695,0.002606
10.50,0.70,8986,0.002703
11.00,0.73,9273,0.002793
11.50,0.77,9557,0.002900
12.00,0.80,9829,0.003002
12.50,0.83,10070,0.003106
13.00,0.87,10280,0.003207
13.50,0.90,10480,0.003335
14.00,0.93,10670,0.003469
14.50,0.97,10860,0.003620
15.00,1.00,11040,0.003787
15.50,1.03,11210,0.003953
16.00,1.07,11380,0.004141
16.50,1.10,11550,0.004341
17.00,1.13,11710,0.004552
17.50,1.17,11860,0.004789
18.00,1.20,12000,0.005049
18.50,1.23,12140,0.005338
19.00,1.27,12270,0.005648
19.50,1.30,12390,0.005997
20.00,1.33,12500,0.006353
20.50,1.37,12620,0.006727
21.00,1.40,12720,0.007115
21.50,1.43,12820,0.007523
22.00,1.47,12920,0.007948
22.50,1.50,13020,0.008399
23.00,1.53,13110,0.008842
23.50,1.57,13200,0.009288
24.00,1.60,13290,0.009760
24.50,1.63,13370,0.01024
25.00,1.67,13460,0.01072
25.50,1.70,13540,0.01119
26.00,1.73,13620,0.01169
26.50,1.77,13690,0.01219
27.00,1.80,13770,0.01270
27.50,1.83,13850,0.01320
28.00,1.87,13920,0.01370
28.50,1.90,13990,0.01421
29.00,1.93,14060,0.01473
29.50,1.97,14130,0.01525
30.00,2.00,14200,0.01576
30.50,2.03,14270,0.01628
31.00,2.07,14340,0.01681
31.50,2.10,14410,0.01734
32.00,2.13,14470,0.01786
32.50,2.17,14540,0.01840
33.00,2.20,14600,0.01892
33.50,2.23,14670,0.01945
34.00,2.27,14730,0.01998
34.50,2.30,14790,0.02053
35.00,2.33,14860,0.02106
35.50,2.37,14920,0.02159
36.00,2.40,14980,0.02212
36.50,2.43,15040,0.02267
37.00,2.47,15100,0.02321
37.50,2.50,15160,0.02375
38.00,2.53,15220,0.02430
38.50,2.57,15280,0.02484
39.00,2.60,15330,0.02540
39.50,2.63,15390,0.02589
40.00,2.67,15450,0.02644
40.50,2.70,15500,0.02699
41.00,2.73,15560,0.02754
41.50,2.77,15610,0.02808
42.00,2.80,15670,0.02864
42.50,2.83,15720,0.02919
43.00,2.87,15780,0.02975
43.50,2.90,15830,0.03030
44.00,2.93,15880,0.03086
44.50,2.97,15940,0.03142
45.00,3.00,15990,0.03198
45.50,3.03,16040,0.03252
46.00,3.07,16090,0.03308
46.50,3.10,16140,0.03364
47.00,3.13,16190,0.03421
47.50,3.17,16240,0.03477
48.00,3.20,16290,0.03533
48.50,3.23,16340,0.03590
49.00,3.27,16390,0.03647
49.50,3.30,16430,0.03703
50.00,3.33,16480,0.03761
50.50,3.37,16530,0.03818
51.00,3.40,16570,0.03875
51.50,3.43,16620,0.03932
52.00,3.47,16660,0.03990
52.50,3.50,16710,0.04047
53.00,3.53,16750,0.04105
53.50,3.57,16800,0.04164
54.00,3.60,16840,0.04221
54.50,3.63,16880,0.04280
55.00,3.67,16930,0.04339
55.50,3.70,16970,0.04396
56.00,3.73,17010,0.04456
56.50,3.77,17050,0.04516
57.00,3.80,17090,0.04574
57.50,3.83,17130,0.04633
58.00,3.87,17170,0.04692
58.50,3.90,17210,0.04752
59.00,3.93,17250,0.04812
59.50,3.97,17290,0.04872
60.00,4.00,17330,0.04932
60.50,4.03,17370,0.04993
61.00,4.07,17410,0.05054
61.50,4.10,17440,0.05115
62.00,4.13,17480,0.05177
62.50,4.17,17520,0.05236
63.00,4.20,17550,0.05298
63.50,4.23,17590,0.05359
64.00,4.27,17630,0.05421
64.50,4.30,17660,0.05481
65.00,4.33,17690,0.05544
65.50,4.37,17730,0.05606
66.00,4.40,17770,0.05667
66.50,4.43,17800,0.05729
67.00,4.47,17830,0.05791
67.50,4.50,17860,0.05853
68.00,4.53,17900,0.05916
68.50,4.57,17930,0.05978
69.00,4.60,17960,0.06041
69.50,4.63,17990,0.06104
70.00,4.67,18030,0.06168
70.50,4.70,18050,0.06232
71.00,4.73,18090,0.06296
71.50,4.77,18120,0.06358
72.00,4.80,18150,0.06422
72.50,4.83,18180,0.06486
73.00,4.87,18210,0.06551
73.50,4.90,18230,0.06614
74.00,4.93,18260,0.06679
74.50,4.97,18290,0.06743
75.00,5.00,18320,0.06809
75.50,5.03,18350,0.06873
76.00,5.07,18380,0.06939
76.50,5.10,18400,0.07003
77.00,5.13,18430,0.07069
77.50,5.17,18460,0.07134
78.00,5.20,18480,0.07200
78.50,5.23,18510,0.07266
79.00,5.27,18530,0.07333
79.50,5.30,18560,0.07399
80.00,5.33,18590,0.07466
80.50,5.37,18610,0.07533
81.00,5.40,18640,0.07599
81.50,5.43,18660,0.07666
82.00,5.47,18690,0.07733
82.50,5.50,18710,0.07800
83.00,5.53,18740,0.07869
83.50,5.57,18760,0.07936
84.00,5.60,18780,0.08004
84.50,5.63,18810,0.08072
85.00,5.67,18830,0.08141
85.50,5.70,18850,0.08209
86.00,5.73,18870,0.08278
86.50,5.77,18900,0.08347
87.00,5.80,18920,0.08416
87.50,5.83,18940,0.08484
88.00,5.87,18960,0.08552
88.50,5.90,18980,0.08622
89.00,5.93,19000,0.08690
89.50,5.97,19020,0.08759
90.00,6.00,19040,0.08829
90.50,6.03,19060,0.08897
91.00,6.07,19080,0.08967
91.50,6.10,19110,0.09036
92.00,6.13,19120,0.09105
92.50,6.17,19140,0.09177
93.00,6.20,19160,0.09247
93.50,6.23,19180,0.09316
94.00,6.27,19200,0.09387
94.50,6.30,19220,0.09457
95.00,6.33,19230,0.09528
95.50,6.37,19250,0.09599
96.00,6.40,19270,0.09669
96.50,6.43,19290,0.09739
97.00,6.47,19300,0.09811
97.50,6.50,19320,0.09882
98.00,6.53,19340,0.09954
98.50,6.57,19350,0.1003
99.00,6.60,19370,0.1010
99.50,6.63,19390,0.1017
100.00,6.67,19400,0.1024
100.50,6.70,19420,0.1032
101.00,6.73,19430,0.1039
101.50,6.77,19450,0.1046
102.00,6.80,19460,0.1053
102.50,6.83,19480,0.1061
103.00,6.87,19490,0.1068
103.50,6.90,19510,0.1075
104.00,6.93,19520,0.1083
104.50,6.97,19540,0.1090
105.00,7.00,19550,0.1097
105.50,7.03,19560,0.1105
106.00,7.07,19580,0.1112
106.50,7.10,19590,0.1120
107.00,7.13,19610,0.1127
107.50,7.17,19620,0.1135
108.00,7.20,19630,0.1142
108.50,7.23,19650,0.1150
109.00,7.27,19660,0.1158
109.50,7.30,19670,0.1165
110.00,7.33,19680,0.1173
110.50,7.37,19690,0.1180
111.00,7.40,19710,0.1188
111.50,7.43,19720,0.1196
112.00,7.47,19730,0.1203
112.50,7.50,19740,0.1211
113.00,7.53,19750,0.1219
113.50,7.57,19760,0.1226
114.00,7.60,19770,0.1234
114.50,7.63,19790,0.1242
115.00,7.67,19800,0.1250
115.50,7.70,19810,0.1257
116.00,7.73,19820,0.1265
116.50,7.77,19830,0.1273
117.00,7.80,19840,0.1281
117.50,7.83,19850,0.1289
118.00,7.87,19860,0.1297
118.50,7.90,19870,0.1305
119.00,7.93,19880,0.1313
119.50,7.97,19890,0.1321
120.00,8.00,19900,0.1329
120.50,8.03,19900,0.1337
121.00,8.07,19910,0.1345
121.50,8.10,19920,0.1353
122.00,8.13,19930,0.1361
122.50,8.17,19940,0.1369
123.00,8.20,19950,0.1378
123.50,8.23,19950,0.1386
124.00,8.27,19960,0.1394
124.50,8.30,19970,0.1402
125.00,8.33,19980,0.1411
125.50,8.37,19980,0.1419
126.00,8.40,19990,0.1428
126.50,8.43,20000,0.1436
127.00,8.47,20010,0.1445
127.50,8.50,20010,0.1453
128.00,8.53,20020,0.1462
128.50,8.57,20030,0.1470
129.00,8.60,20030,0.1479
129.50,8.63,20040,0.1488
130.00,8.67,20040,0.1497
130.50,8.70,20050,0.1506
131.00,8.73,20060,0.1515
131.50,8.77,20060,0.1524
132.00,8.80,20060,0.1533
132.50,8.83,20070,0.1542
133.00,8.87,20080,0.1551
133.50,8.90,20080,0.1560
134.00,8.93,20080,0.1569
134.50,8.97,20090,0.1578
135.00,9.00,20090,0.1588
135.50,9.03,20100,0.1597
136.00,9.07,20100,0.1607
136.50,9.10,20100,0.1616
137.00,9.13,20110,0.1626
137.50,9.17,20110,0.1635
138.00,9.20,20110,0.1645
138.50,9.23,20110,0.1655
139.00,9.27,20110,0.1664
139.50,9.30,20110,0.1674
140.00,9.33,20110,0.1684
140.50,9.37,20110,0.1694
141.00,9.40,20110,0.1705
141.50,9.43,20110,0.1715
142.00,9.47,20100,0.1725
142.50,9.50,20100,0.1736
143.00,9.53,20100,0.1747
143.50,9.57,20100,0.1757
144.00,9.60,20090,0.1768
144.50,9.63,20080,0.1779
145.00,9.67,20080,0.1790
145.50,9.70,20070,0.1801
146.00,9.73,20060,0.1812
146.50,9.77,20050,0.1823
147.00,9.80,20040,0.1834
147.50,9.83,20020,0.1846
148.00,9.87,20010,0.1857
148.50,9.90,19990,0.1869
149.00,9.93,19970,0.1881
149.50,9.97,19950,0.1892
150.00,10.00,19930,0.1904
150.50,10.03,19910,0.1916
151.00,10.07,19880,0.1929
151.50,10.10,19850,0.1941
152.00,10.13,19820,0.1954
152.50,10.17,19790,0.1966
153.00,10.20,19750,0.1979
153.50,10.23,19710,0.1992
154.00,10.27,19670,0.2004
154.50,10.30,19620,0.2018
155.00,10.33,19570,0.2031
155.50,10.37,19520,0.2044
156.00,10.40,19450,0.2058
156.08,10.41,11260,0.1960
