Course,"AE 321"
Lab Section Number,"0"
Test Group,"C"
Type of Test,"Tensile - Round"
Crosshead Rate,4.00,mm/min
Start Date,9/16/2015 4:03 PM
End Date,9/16/2015 4:05 PM
Material,"1045"
Heat treatment,"CR"
Other information,""
Geometry,Circular
Diameter,7.18,mm
Area,40.4892,mm^2
Hardness,0.0
Rockwell Scale,HRB
Grip Diameter (Hardness correction),12.50,mm
Gage Length (Extensometer),25.40,mm
Maximum Load,40010,N
Tensile strain at Maximum Load,0.02656,mm/mm
Tensile strain at Maximum Strain 1,0.1138,mm/mm
Load at Maximum Strain 1,18160,N
Fracture Type and Location,""
Final Diameter,5.57,mm
Notes During Test,""

Time,Extension,Load,Strain 1
(sec),(mm),(N),(mm/mm)
0.00,0.00,0.6983,-0.00002
0.50,0.03,619.8,0.00002
1.00,0.07,1547,0.0001310
1.50,0.10,2300,0.0002151
2.00,0.13,2928,0.0002817
2.50,0.17,3469,0.0003572
3.00,0.20,3907,0.0003905
3.50,0.23,4297,0.0003877
4.00,0.27,4640,0.0004291
4.50,0.30,4984,0.0004791
5.00,0.33,5323,0.0005170
5.50,0.37,5671,0.0005552
6.00,0.40,6020,0.0005999
6.50,0.43,6370,0.0006404
7.00,0.47,6726,0.0006840
7.50,0.50,7090,0.0007218
8.00,0.53,7453,0.0007612
8.50,0.57,7817,0.0008027
9.00,0.60,8178,0.0008382
9.50,0.63,8530,0.0008830
10.00,0.67,8864,0.0009116
10.50,0.70,9209,0.0009647
11.00,0.73,9552,0.0009938
11.50,0.77,9891,0.001031
12.00,0.80,10200,0.001060
12.50,0.83,10500,0.001097
13.00,0.87,10810,0.001133
13.50,0.90,11110,0.001173
14.00,0.93,11420,0.001208
14.50,0.97,11730,0.001246
15.00,1.00,12040,0.001284
15.50,1.03,12360,0.001314
16.00,1.07,12670,0.001356
16.50,1.10,12990,0.001390
17.00,1.13,13310,0.001437
17.50,1.17,13630,0.001465
18.00,1.20,13950,0.001511
18.50,1.23,14270,0.001538
19.00,1.27,14600,0.001586
19.50,1.30,14910,0.001623
20.00,1.33,15240,0.001669
20.50,1.37,15560,0.001710
21.00,1.40,15890,0.001758
21.50,1.43,16220,0.001795
22.00,1.47,16550,0.001837
22.50,1.50,16880,0.001889
23.00,1.53,17210,0.001936
23.50,1.57,17540,0.001979
24.00,1.60,17870,0.002028
24.50,1.63,18210,0.002081
25.00,1.67,18540,0.002134
25.50,1.70,18880,0.002175
26.00,1.73,19220,0.002231
26.50,1.77,19550,0.002287
27.00,1.80,19890,0.002352
27.50,1.83,20220,0.002409
28.00,1.87,20560,0.002467
28.50,1.90,20900,0.002527
29.00,1.93,21240,0.002588
29.50,1.97,21570,0.002655
30.00,2.00,21910,0.002722
30.50,2.03,22240,0.002791
31.00,2.07,22580,0.002861
31.50,2.10,22920,0.002935
32.00,2.13,23250,0.003010
32.50,2.17,23590,0.003091
33.00,2.20,23920,0.003171
33.50,2.23,24250,0.003250
34.00,2.27,24590,0.003327
34.50,2.30,24920,0.003429
35.00,2.33,25260,0.003511
35.50,2.37,25590,0.003610
36.00,2.40,25920,0.003707
36.50,2.43,26240,0.003802
37.00,2.47,26580,0.003908
37.50,2.50,26900,0.004005
38.00,2.53,27230,0.004119
38.50,2.57,27560,0.004220
39.00,2.60,27880,0.004335
39.50,2.63,28210,0.004456
40.00,2.67,28530,0.004573
40.50,2.70,28850,0.004702
41.00,2.73,29170,0.004828
41.50,2.77,29480,0.004966
42.00,2.80,29800,0.005097
42.50,2.83,30110,0.005245
43.00,2.87,30420,0.005388
43.50,2.90,30730,0.005539
44.00,2.93,31040,0.005690
44.50,2.97,31340,0.005855
45.00,3.00,31640,0.006024
45.50,3.03,31940,0.006191
46.00,3.07,32240,0.006369
46.50,3.10,32530,0.006551
47.00,3.13,32820,0.006738
47.50,3.17,33110,0.006925
48.00,3.20,33390,0.007130
48.50,3.23,33670,0.007326
